make,model,price,body_color,interior_color,interior_material,body,doors,seats,vin,fuel,transmission,drive_type,power,engine_capacity,co2_emission,emission_class,driven_distance,first_registration,condition
Opel,Insignia CT,9 849 €,Grey,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Manual,4x4,120 kW,1 956 cc,148,Euro 5,149 500 km,4/2014,3
Audi,Q3,43 149 €,Red,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,180 kW,1 984 cc,167,Euro 6d-TEMP,6 800 km,5/2021,Used
Volkswagen,T-Roc,16 199 €,Yellow,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110 kW,1 498 cc,123,Euro 6,45 086 km,7/2019,1
Tesla,Model 3,42 349 €,White,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x2,208 kW,Euro 6d-TEMP,55,No,11 000 km,9/2021,1
Volkswagen,T-Roc,20 049 €,Black,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110 kW,1 498 cc,119,Euro 6,7 396 km,2/2021,1
Cupra,Leon,30 399 €,Red,Interior color,Alcantara interior,Station Wagon,4/5 doors,5,None,Petrol,Automatic,4x4,221 kW,1 984 cc,161,Euro 6d-TEMP,26 550 km,8/2020,1
BMW,220,25 299 €,Silver,Type of finish,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 995 cc,121,Euro 6d-TEMP,35 700 km,7/2019,Used
Jaguar,XE,28 999 €,Other interior color,Interior material,Sedans / saloons,4/5 doors,5,1615,None,Diesel,Automatic,4x4,132 kW,1 999 cc,144,No emission class,32 966 km,8/2019,Used
Cadillac,XT4,38 949 €,Black,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,128 kW,1 995 cc,180,Euro 6d,1 000 km,1/2022,Used
Mercedes-Benz,GLC 400,54 699 €,Black,Interior color,Part leather interior,SUV / offroad,4/5 doors,5,1910,Diesel,Automatic,4x4,243 kW,2 925 cc,187,Euro 6d,37 731 km,7/2020,Used
Mercedes-Benz,A 220,33 599 €,Yellow,Interior color,Full leather interior,Sedans / saloons,4/5 doors,5,None,Diesel,Automatic,4x2,140 kW,1 950 cc,116,Euro 6d,18 879 km,6/2021,Demonstration car
MINI,Cooper S Countryman,9 449 €,Silver,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,4,Petrol,Manual,4x4,135 kW,1 598 cc,157,Euro 5,132 985 km,10/2011,1
Fiat,Talento,30 949 €,Black,Type of finish,Grey interior,Cloth interior,4/5 doors,3,None,Diesel,Automatic,4x2,107 kW,1 997 cc,193,Euro 6,8 745 km,9/2021,Used
Mercedes-Benz,A 250,36 199 €,Yellow,Interior color,Full leather interior,Compact,4/5 doors,5,None,Petrol,Automatic,4x4,165 kW,1 991 cc,146,Euro 6d,35 500 km,7/2021,1
Audi,A4 Allroad,48 449 €,Black,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,160,Euro 6,27 899 km,7/2020,1
Tesla,Model 3,53 299 €,White,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x4,324 kW,No emission class,79,No,100 km,12/2021,1
BMW,X3 M40,55 299 €,Black,Type of finish,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,285 kW,2 998 cc,164,Euro 6,1 811 km,7/2020,07/2024
Jaguar,XF,26 249 €,Black,Interior color,Cloth interior,Sedans / saloons,4/5 doors,5,1715,Petrol,Automatic,4x4,221 kW,1 997 cc,163,No emission class,30 654 km,10/2018,Used
Mercedes-Benz,E 220,35 249 €,Blue,Type of finish,Black interior,Other interior material,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,143 kW,1 950 cc,138,Euro 6d-TEMP,70 000 km,7/2019,1
BMW,X3 M40,53 149 €,Black,Type of finish,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,265 kW,2 998 cc,188,Euro 6d-TEMP,31 600 km,2/2020,2
Mitsubishi,Outlander,8 899 €,Brown,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,115 kW,2 179 cc,186,Euro 5,168 000 km,9/2012,2
Dacia,Duster,8 399 €,White,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Petrol,Manual,4x2,84 kW,1 598 cc,145,Euro 6,59 000 km,11/2015,2
BMW,220,25 749 €,Blue,Type of finish,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 995 cc,117,Euro 6d-TEMP,23 600 km,9/2019,Used
Audi,Q3,38 249 €,Blue,Interior color,Part leather interior,SUV / offroad,4/5 doors,5,1735,Diesel,Automatic,4x4,110 kW,1 968 cc,144,Euro 6,27 246 km,10/2021,Used
Mercedes-Benz,CLA 220,38 349 €,Grey,Type of finish,Black interior,Other interior material,Coupe,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,121,Euro 6d,26 312 km,11/2021,Used
Audi,A7,33 099 €,Grey,Type of finish,Grey interior,Alcantara interior,Sedans / saloons,4/5 doors,4,Diesel,Automatic,4x4,140 kW,2 967 cc,138,Euro 6,49 856 km,6/2017,1
Mercedes-Benz,C 300,48 699 €,White,Interior color,Part leather interior,Station Wagon,4/5 doors,5,None,Diesel,Automatic,4x2,195 kW,1 993 cc,134,Euro 6,8 313 km,10/2021,1
DS Automobiles,DS7 Crossback,42 649 €,Black,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,166 kW,1 598 cc,36,Euro 6d,19 349 km,4/2022,Demonstration car
Kia,Venga,4 399 €,Grey,Type of finish,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,66 kW,1 396 cc,140,Euro 5,85 850 km,1/2011,1
Porsche,Cayenne,19 249 €,Grey,Type of finish,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,368 kW,4 806 cc,353,Euro 4,137 600 km,4/2009,03/2023
Cupra,Leon,29 849 €,Red,Interior color,Alcantara interior,Station Wagon,4/5 doors,5,None,Petrol,Automatic,4x4,221 kW,1 984 cc,189,Euro 6,21 000 km,6/2020,1
Dodge,RAM,57 999 €,White,Interior color,Cloth interior,Pick-up,4/5 doors,6,None,Petrol,Automatic,4x4,295 kW,5 654 cc,317,Euro 6,10 602 km,2/2022,Used
Seat,Tarraco,25 199 €,Grey,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,1728,Diesel,Automatic,4x2,110 kW,1 968 cc,120,Euro 6d-TEMP,65 400 km,5/2021,Used
BMW,330,33 649 €,Black,Interior color,Cloth interior,Station Wagon,4/5 doors,5,None,Petrol,Automatic,4x2,190 kW,1 998 cc,134,Euro 6d-TEMP,89 499 km,2/2020,1
BMW,540,43 649 €,Grey,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,235 kW,2 993 cc,145,Euro 6,78 173 km,1/2020,1
Volkswagen,T-Roc,26 349 €,White,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,None,Diesel,Automatic,4x2,110 kW,1 968 cc,111,Euro 6,26 368 km,6/2021,1
BMW,750,60 599 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,294 kW,2 993 cc,166,Euro 6,93 808 km,3/2019,2
Citroen,C3,4 399 €,Grey,Type of finish,Other interior color,Other interior material,Compact,4/5 doors,5,Petrol,Manual,4x2,54 kW,1 360 cc,150,No emission class,112 052 km,9/2009,2
Citroen,C3 Aircross,11 849 €,Grey,Interior color,Other interior material,SUV / offroad,4/5 doors,5,1159,Petrol,Manual,4x2,81 kW,1 199 cc,110,No emission class,32 515 km,5/2018,Used
Volkswagen,Tiguan Allspace,46 299 €,Silver,Type of finish,Black interior,Velour interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,147 kW,1 968 cc,171,Euro 6,1 500 km,10/2021,Demonstration car
Tesla,Model 3,53 299 €,White,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x4,377 kW,Euro 6d-TEMP,82,No,9 623 km,6/2021,1
Volvo,V60,31 799 €,White,Interior color,Part leather interior,Station Wagon,4/5 doors,5,None,Petrol,Automatic,4x4,228 kW,1 969 cc,171,Euro 6d-TEMP,47 202 km,2/2019,1
Audi,Q5,47 599 €,Black,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x4,150 kW,1 968 cc,140,Euro 6,17 018 km,9/2021,1
Mercedes-Benz,GLE 63 AMG,56 449 €,Black,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,430 kW,5 461 cc,320,Euro 6,135 700 km,9/2017,2
Land Rover,Range Rover Evoque,27 749 €,White,Interior color,Full leather interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x4,132 kW,1 999 cc,164,Euro 6,72 213 km,12/2018,1
Mercedes-Benz,E 350,38 699 €,Black,Interior color,Cloth interior,Sedans / saloons,4/5 doors,5,None,Hybrid,Automatic,4x2,210 kW,1 991 cc,49,Euro 6,35 220 km,4/2018,2
Fiat,Panda,2 699 €,Yellow,Interior color,Cloth interior,Compact,4/5 doors,4,None,Petrol,Manual,4x2,40 kW,1 108 cc,135,Euro 4,115 000 km,5/2009,1
Mercedes-Benz,CLA 220 Shooting Brake,37 349 €,Black,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,121,Euro 6d-TEMP,14 941 km,11/2021,1
Mercedes-Benz,GLC 400,59 499 €,Black,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,243 kW,2 925 cc,168,Euro 6d-TEMP,17 300 km,4/2020,1
BMW,220,25 699 €,Silver,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,None,Diesel,Automatic,4x4,140 kW,1 995 cc,121,Euro 6,69 987 km,10/2019,Used
BMW,M550,52 149 €,Blue,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,294 kW,2 993 cc,172,Euro 6,67 896 km,5/2019,1
Audi,Q2,34 249 €,Silver,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,85 kW,1 998 cc,107,Euro 6,6 000 km,2/2022,Demonstration car
BMW,520,52 699 €,Grey,Interior color,Alcantara interior,Station Wagon,4/5 doors,4,None,Diesel,Automatic,4x4,140 kW,1 995 cc,120,Euro 6d-TEMP,7 640 km,11/2021,Used
BMW,118,20 949 €,Grey,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Diesel,Manual,4x2,110 kW,1 995 cc,115,Euro 6,38 100 km,5/2019,1
Seat,Tarraco,34 599 €,Grey,Interior color,Velour interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x2,110 kW,1 968 cc,120,Euro 6,25 000 km,5/2021,Used
Audi,A5,42 099 €,Blue,Type of finish,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,170 kW,2 967 cc,143,Euro 6,46 091 km,3/2020,1
BMW,420,26 099 €,Black,Interior color,Cloth interior,Coupe,4/5 doors,5,None,Petrol,Manual,4x2,135 kW,1 998 cc,155,Euro 6,48 133 km,6/2019,Used
Audi,A5,41 549 €,White,Type of finish,Other interior color,Other interior material,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,150 kW,1 984 cc,129,Euro 6d,19 990 km,4/2021,Used
BMW,118,18 849 €,Blue,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Diesel,Manual,4x2,110 kW,1 995 cc,115,Euro 6,65 810 km,4/2019,Used
BMW,430 Gran Coupé,32 099 €,Blue,Type of finish,Brown interior,Full leather interior,Coupe,4/5 doors,5,Petrol,Automatic,4x4,185 kW,1 998 cc,151,Euro 6,23 800 km,11/2018,1
Opel,Movano,18 999 €,White,Interior color,Cloth interior,Other car styles,4/5 doors,3,1999,Diesel,Manual,4x2,125 kW,2 299 cc,189,Euro 6,84 735 km,4/2018,Used
Dodge,RAM,49 199 €,White,Interior color,Full leather interior,Other car styles,4/5 doors,5,2600,LPG,Automatic,4x4,296 kW,5 654 cc,298,Euro 6,90 664 km,2/2019,Used
Toyota,Avensis,7 399 €,Grey,Type of finish,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,108 kW,1 998 cc,192,Euro 4,121 000 km,2/2009,1
BMW,530,35 699 €,Grey,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x2,218 kW,1 998 cc,39,Euro 6,68 557 km,10/2019,1
BMW,330,47 849 €,Black,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,210 kW,2 993 cc,124,Euro 6,28 724 km,6/2021,1
Audi,Q3,42 549 €,Black,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,147 kW,1 968 cc,136,Euro 6d-TEMP,21 000 km,3/2021,1
Mercedes-Benz,GLC 400,57 349 €,White,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,243 kW,2 925 cc,187,Euro 6d,24 934 km,7/2020,1
Audi,A4 Allroad,36 749 €,White,Interior color,Cloth interior,Station Wagon,4/5 doors,5,None,Petrol,Automatic,4x4,180 kW,1 984 cc,150,Euro 6,23 700 km,7/2020,1
Mercedes-Benz,CLA 220,37 149 €,Grey,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,140,Euro 6d,41 735 km,2/2021,Used
SsangYong,Actyon,15 749 €,Black,Type of finish,Other interior color,Cloth interior,Other car styles,4/5 doors,5,Diesel,Automatic,4x4,114 kW,1 998 cc,212,Euro 5,140 546 km,3/2017,1
Mercedes-Benz,CLA 220,38 899 €,White,Interior color,Part leather interior,Station Wagon,4/5 doors,5,1585,Diesel,Automatic,4x2,140 kW,1 950 cc,114,Euro 6d-TEMP,13 850 km,11/2021,Used
BMW,330,47 599 €,Blue,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,210 kW,2 993 cc,119,Euro 6d-TEMP,31 996 km,7/2021,1
BMW,X4 M40,44 449 €,White,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,265 kW,2 998 cc,199,Euro 6,27 500 km,6/2018,1
BMW,118,19 949 €,Blue,Type of finish,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,Diesel,Manual,4x2,110 kW,1 995 cc,115,Euro 6,57 700 km,5/2019,Used
Audi,A6,51 049 €,Black,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,150 kW,1 968 cc,152,Euro 6d-TEMP,17 849 km,7/2021,1
BMW,X3 M40,61 599 €,White,Interior color,Full leather interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x4,250 kW,2 993 cc,186,Euro 6d,28 367 km,11/2021,1
Mercedes-Benz,E 400,40 949 €,Black,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,250 kW,2 925 cc,191,Euro 6d-TEMP,80 980 km,4/2019,1
Kia,Picanto,3 599 €,Silver,Type of finish,Grey interior,Part leather interior,Compact,4/5 doors,5,Petrol,Manual,4x2,46 kW,999 cc,102,Euro 5,119 113 km,10/2009,06/2023
BMW,750,49 899 €,Grey,Type of finish,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,330 kW,4 395 cc,184,Euro 6,49 338 km,11/2018,2
Dodge,RAM,66 999 €,Black,Type of finish,Grey interior,Cloth interior,Other car styles,4/5 doors,5,LPG,Automatic,4x4,295 kW,5 654 cc,298,No emission class,308 km,2/2022,Used
Nissan,Juke,10 899 €,Silver,Type of finish,Black interior,Cloth interior,Compact,4/5 doors,5,Diesel,Manual,4x2,81 kW,1 461 cc,104,Euro 5,24 423 km,9/2014,Used
Hyundai,i10,2 899 €,Silver,Type of finish,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,57 kW,1 248 cc,119,Euro 4,140 000 km,6/2009,09/2022
Skoda,Superb,22 099 €,Black,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,140 kW,1 968 cc,136,Euro 6d-TEMP,127 366 km,10/2018,1
Audi,A4 Allroad,52 149 €,White,Interior color,Alcantara interior,Sedans / saloons,4/5 doors,5,None,Diesel,Automatic,4x4,210 kW,2 967 cc,167,Euro 6d-TEMP,38 800 km,4/2020,1
BMW,220,38 899 €,Blue,Type of finish,Black interior,Full leather interior,Coupe,4/5 doors,5,Diesel,Automatic,4x4,140 kW,1 995 cc,119,Euro 6,21 125 km,4/2021,Used
BMW,420 Gran Coupé,27 599 €,Black,Interior color,Cloth interior,Coupe,4/5 doors,5,None,Diesel,Automatic,4x2,140 kW,1 995 cc,126,Euro 6,67 874 km,4/2019,Used
Dodge,Challenger,33 049 €,Grey,Type of finish,Black interior,Full leather interior,Coupe,4/5 doors,5,Petrol,Automatic,4x2,277 kW,5 654 cc,333,Euro 6,46 488 km,7/2018,09/2024
Renault,Koleos,8 149 €,Grey,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,110 kW,1 995 cc,209,Euro 5,165 000 km,8/2012,4
Mercedes-Benz,CLA 220 Shooting Brake,22 549 €,Brown,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,125 kW,2 143 cc,142,Euro 6,149 000 km,1/2019,1
Alfa Romeo,Stelvio,45 649 €,Blue,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,154 kW,2 143 cc,144,Euro 6d-TEMP,2 490 km,7/2021,Used
Audi,SQ2,48 799 €,White,Interior color,Part leather interior,SUV / offroad,4/5 doors,5,None,Petrol,Automatic,4x4,221 kW,1 984 cc,176,Euro 6d-TEMP,8 800 km,3/2022,Demonstration car
Mercedes-Benz,C 300,48 249 €,White,Interior color,Cloth interior,Station Wagon,4/5 doors,5,None,Diesel,Automatic,4x2,195 kW,1 993 cc,137,Euro 6d-TEMP,13 000 km,1/2022,Demonstration car
BMW,X3,47 799 €,White,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,None,Diesel,Automatic,4x4,140 kW,1 995 cc,126,Euro 6,9 076 km,4/2021,1
Mercedes-Benz,E 220,40 249 €,Black,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,143 kW,1 950 cc,119,Euro 6d-TEMP,23 000 km,7/2020,1
Audi,Q2,23 049 €,White,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,1300,Petrol,Manual,4x2,85 kW,999 cc,140,Euro 6,10 500 km,8/2021,Used
BMW,740,48 999 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,240 kW,2 998 cc,164,Euro 6,55 512 km,1/2019,1
BMW,X2,32 049 €,Black,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x4,110 kW,1 995 cc,144,Euro 6d,10 601 km,5/2021,1
Cupra,Ateca,34 199 €,Red,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,221 kW,1 984 cc,168,Euro 6d-TEMP,18 156 km,4/2020,1
Mercedes-Benz,A 220,31 199 €,White,Interior color,Part leather interior,Sedans / saloons,4/5 doors,5,None,Petrol,Automatic,4x4,140 kW,1 991 cc,148,Euro 6d-TEMP,50 668 km,1/2019,1
Tesla,Model Y,63 799 €,Grey,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x4,254 kW,Euro 6d,75,No,9 000 km,3/2022,1
Dacia,Sandero,2 799 €,Blue,Interior color,Cloth interior,Compact,4/5 doors,5,None,Petrol,Manual,4x2,55 kW,1 390 cc,161,Euro 4,115 500 km,7/2009,2
Audi,A4 Allroad,44 649 €,Silver,Type of finish,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,164,Euro 6d-TEMP,40 000 km,10/2020,2
Alfa Romeo,Giulia,53 149 €,Black,Type of finish,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,4,Petrol,Manual,4x2,375 kW,2 891 cc,198,Euro 6,31 000 km,3/2017,2
Mercedes-Benz,E 300,58 549 €,Silver,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,4,Petrol,Automatic,4x2,190 kW,1 999 cc,254,No emission class,5 000 km,5/2021,Demonstration car
BMW,320,37 249 €,Blue,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,140 kW,1 995 cc,145,Euro 6d-TEMP,13 400 km,3/2020,1
Audi,A7,61 699 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,154,Euro 6d,30 922 km,8/2021,Used
Skoda,Fabia,5 299 €,Black,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,63 kW,1 197 cc,123,Euro 5,117 000 km,7/2011,1
Tesla,Model Y,64 799 €,White,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x4,378 kW,Euro 6d-TEMP,77,No,27 000 km,12/2021,1
Volkswagen,T-Roc,27 499 €,Black,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110 kW,1 968 cc,111,Euro 6d,22 323 km,7/2021,1
Mercedes-Benz,C 300,39 499 €,White,Interior color,Cloth interior,Station Wagon,4/5 doors,5,None,Diesel,Automatic,4x4,180 kW,1 950 cc,154,Euro 6d-TEMP,22 868 km,12/2020,1
Volvo,V90,40 499 €,Black,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,174 kW,1 969 cc,146,No emission class,19 436 km,6/2020,06/2023
Audi,A7,62 749 €,Blue,Type of finish,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,154,Euro 6d-TEMP,24 796 km,7/2021,1
Ford,Focus,6 899 €,Black,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,85 kW,1 997 cc,138,Euro 5,125 000 km,2/2014,04/2023
Ford,Focus,18 299 €,Blue,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,110 kW,1 995 cc,117,Euro 6d,54 000 km,10/2019,10/2022
Renault,Master,23 599 €,Blue,Interior color,Cloth interior,Station Wagon,4/5 doors,3,None,Diesel,Manual,4x2,107 kW,2 299 cc,212,Euro 6,40 700 km,7/2019,1
Volkswagen,Golf,33 149 €,Blue,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,221 kW,1 984 cc,161,Euro 6d-TEMP,41 925 km,3/2020,1
Mercedes-Benz,CLA 220,38 199 €,Black,Interior color,Part leather interior,Station Wagon,4/5 doors,5,None,Diesel,Automatic,4x2,140 kW,1 950 cc,114,Euro 6d,16 992 km,2/2021,Used
Audi,A4 Allroad,44 649 €,Black,Type of finish,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,164,Euro 6d-TEMP,36 000 km,10/2020,2
Mercedes-Benz,E 300,47 949 €,Grey,Type of finish,Black interior,Part leather interior,Cabriolet,4/5 doors,4,Diesel,Automatic,4x2,180 kW,1 950 cc,138,Euro 6d-TEMP,75 559 km,12/2019,1
Audi,SQ2,49 949 €,Grey,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,221 kW,2 000 cc,176,No emission class,9 000 km,7/2022,Used
BMW,220,26 049 €,Grey,Type of finish,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 995 cc,121,Euro 6d-TEMP,40 200 km,7/2019,Used
Audi,A4 Allroad,45 699 €,Black,Type of finish,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,164,Euro 6d-TEMP,20 441 km,10/2020,2
Porsche,Panamera,51 199 €,Grey,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,4,Petrol,Automatic,4x4,243 kW,2 995 cc,175,Euro 6,66 123 km,2/2018,1
Mercedes-Benz,GLC 400,61 649 €,Black,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,243 kW,2 925 cc,191,Euro 6d,16 480 km,9/2020,1
Mazda,CX-7,6 799 €,Black,Interior color,Other interior material,SUV / offroad,4/5 doors,5,None,Diesel,Manual,4x4,127 kW,2 184 cc,199,Euro 5,136 000 km,7/2010,09/2023
Skoda,Karoq,17 199 €,Grey,Interior color,Other interior material,SUV / offroad,4/5 doors,5,None,Diesel,Manual,4x2,85 kW,1 600 cc,109,No emission class,141 918 km,2/2019,Used
Volvo,XC40,30 449 €,White,Interior color,Part leather interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x2,110 kW,19 690 cc,131,Euro 6,104 000 km,10/2018,Used
Mercedes-Benz,S 63 AMG,60 549 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,430 kW,5 461 cc,239,No emission class,142 000 km,11/2014,3
BMW,M3,63 799 €,Black,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,165,Euro 6,15 746 km,1/2021,Used
BMW,X3,44 699 €,Blue,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,135 kW,1 998 cc,153,Euro 6,22 285 km,9/2020,1
Dodge,Charger,47 099 €,Green,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,362 kW,6 417 cc,333,Euro 6,17 000 km,6/2021,1
Skoda,Fabia,3 799 €,Beige,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,51 kW,1 198 cc,140,Euro 4,107 152 km,7/2009,1
Mercedes-Benz,GLC 400,55 249 €,Black,Interior color,Part leather interior,SUV / offroad,4/5 doors,5,1910,Diesel,Automatic,4x4,243 kW,2 925 cc,187,Euro 6d,43 234 km,7/2020,Used
Mercedes-Benz,C 300,58 349 €,Silver,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,195 kW,1 993 cc,139,Euro 6d,5 000 km,4/2022,Demonstration car
Audi,A7,62 749 €,Blue,Type of finish,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,154,Euro 6d-TEMP,29 813 km,8/2021,1
Mazda,CX-5,14 899 €,Red,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,110 kW,2 191 cc,119,Euro 6,131 265 km,1/2017,Used
