make,model,price,body_color,interior_color,interior_material,body,doors,seats,vin,fuel,transmission,drive_type,power,engine_capacity,co2_emission,emission_class,driven_distance,first_registration,condition
Opel,Antara,7 099 €,Black,Type of finish,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,120 kW,2 231 cc,167,Euro 5,123 500 km,6/2015,Used
Dodge,Charger,33 599 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,276 kW,5 654 cc,333,Euro 6,45 323 km,7/2019,09/2024
Dodge,Charger,43 949 €,Black,Interior color,Alcantara interior,Sedans / saloons,4/5 doors,5,None,Petrol,Automatic,4x2,362 kW,6 424 cc,333,Euro 6,27 800 km,6/2020,2
BMW,120,34 499 €,Black,Interior color,Part leather interior,Sedans / saloons,4/5 doors,5,1525,Diesel,Automatic,4x2,140 kW,1 995 cc,112,Euro 6d-TEMP,18 000 km,5/2021,Used
Dodge,Charger,41 899 €,Grey,Interior color,Full leather interior,Sedans / saloons,4/5 doors,5,None,Petrol,Automatic,4x2,362 kW,6 424 cc,333,Euro 6,26 800 km,8/2019,2
Mercedes-Benz,E 63 AMG,51 749 €,Brown,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,7,Petrol,Automatic,4x4,430 kW,5 461 cc,249,Euro 6,35 000 km,5/2015,2
Renault,Talisman,19 299 €,Grey,Type of finish,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,147 kW,1 997 cc,130,Euro 6,51 617 km,5/2019,Used
Dacia,Sandero,2 899 €,Blue,Interior color,Cloth interior,Compact,4/5 doors,5,None,Petrol,Manual,4x2,55 kW,1 390 cc,166,Euro 4,124 225 km,3/2009,2
BMW,535 Gran Turismo,15 299 €,Black,Type of finish,Beige interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,225 kW,2 979 cc,211,Euro 5,150 000 km,1/2010,01/2022
Mitsubishi,Outlander,8 299 €,Grey,Type of finish,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Manual,4x4,130 kW,2 268 cc,167,Euro 5,123 000 km,1/2012,2
Volkswagen,T-Cross,18 849 €,Yellow,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x4,70 kW,1 598 cc,107,Euro 6,1 598 km,12/2020,1
Audi,Q3,30 149 €,Black,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,110 kW,1 968 cc,137,Euro 6,32 090 km,7/2021,1
Peugeot,308,4 899 €,Grey,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,115 kW,1 598 cc,165,Euro 5,175 000 km,4/2012,3
MG,ZS,31 049 €,Black,Interior color,Full leather interior,SUV / offroad,4/5 doors,5,None,Electric,Automatic,4x2,130 kW,2 497 cc,No emission class,50,5 500 km,5/2022,05/2025
Cupra,Ateca,35 849 €,Grey,Type of finish,Black interior,Alcantara interior,Compact,4/5 doors,5,Petrol,Automatic,4x4,221 kW,1 984 cc,168,Euro 6d-TEMP,22 611 km,9/2020,1
Audi,Q5,51 849 €,Black,Interior color,Other interior material,Coupe,4/5 doors,5,2150,Other fuel type,Automatic,4x4,220 kW,1 984 cc,35,Euro 6,13 091 km,9/2021,Used
Volvo,V60,11 399 €,Silver,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,169 kW,2 400 cc,169,Euro 5,137 000 km,4/2012,2
BMW,220,22 449 €,Silver,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,None,Diesel,Automatic,4x4,140 kW,1 995 cc,121,Euro 6,85 700 km,11/2019,Used
MG,ZS,31 049 €,Blue,Interior color,Full leather interior,SUV / offroad,4/5 doors,5,None,Electric,Automatic,4x2,130 kW,2 497 cc,No emission class,50,3 000 km,4/2022,05/2025
BMW,220,22 349 €,Silver,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,None,Diesel,Automatic,4x2,140 kW,1 995 cc,121,Euro 6,79 900 km,9/2019,Used
Opel,Movano,16 849 €,White,Type of finish,Black interior,Cloth interior,Other car styles,4/5 doors,3,Diesel,Manual,4x2,96 kW,2 298 cc,232,No emission class,86 750 km,3/2019,Used
Cupra,Formentor,35 249 €,Red,Interior color,Other interior material,SUV / offroad,4/5 doors,5,1644,Petrol,Automatic,4x4,228 kW,1 984 cc,168,No emission class,4 000 km,6/2022,Spain
BMW,220,22 449 €,Silver,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,None,Diesel,Automatic,4x2,140 kW,1 995 cc,121,Euro 6,79 988 km,11/2019,Used
Mercedes-Benz,A 220,29 899 €,Grey,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,116,Euro 6d-TEMP,33 887 km,11/2019,Used
Dodge,Charger,34 599 €,Black,Interior color,Alcantara interior,Sedans / saloons,4/5 doors,5,None,Petrol,Automatic,4x2,280 kW,5 654 cc,333,Euro 6d-TEMP,38 500 km,5/2019,Used
Audi,SQ5,56 399 €,Black,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,255 kW,2 967 cc,180,Euro 6d-TEMP,26 223 km,5/2020,Used
Ford,Fusion,5 299 €,Black,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,59 kW,1 388 cc,154,Euro 4,85 000 km,10/2009,2
Nissan,Qashqai,16 749 €,Grey,Interior color,Other interior material,SUV / offroad,4/5 doors,5,1416,Petrol,Automatic,4x2,116 kW,1 332 cc,122,No emission class,4 700 km,6/2021,Spain
BMW,220,23 499 €,Silver,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,None,Diesel,Automatic,4x2,140 kW,1 995 cc,121,Euro 6,69 988 km,9/2019,Used
Mercedes-Benz,CLA 220,35 599 €,Silver,Type of finish,Black interior,Part leather interior,Coupe,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,120,Euro 6,21 642 km,2/2021,Used
Mercedes-Benz,CLA 35 AMG Shooting Brake,48 899 €,Red,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,225 kW,1 991 cc,171,Euro 6d,12 200 km,10/2021,1
Ford,Kuga,8 349 €,White,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Diesel,Manual,4x4,100 kW,1 997 cc,170,Euro 4,117 650 km,9/2009,05/2023
MG,ZS,30 999 €,Blue,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Electric,Automatic,4x2,130 kW,2 497 cc,No emission class,51,3 120 km,6/2022,Used
BMW,220,26 249 €,Grey,Type of finish,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Diesel,Automatic,4x4,140 kW,1 995 cc,126,Euro 6d-TEMP,34 200 km,10/2019,Used
Tesla,Model 3,49 999 €,White,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x4,377 kW,Euro 6d-TEMP,79,No,47 500 km,3/2019,1
Alfa Romeo,Giulietta,9 399 €,Black,Type of finish,Black interior,Part leather interior,Compact,4/5 doors,5,Petrol,Manual,4x2,173 kW,1 742 cc,180,Euro 5,140 426 km,1/2013,Used
BMW,440,42 549 €,Black,Type of finish,Grey interior,Alcantara interior,Coupe,4/5 doors,5,Petrol,Automatic,4x2,240 kW,2 998 cc,165,Euro 6,56 000 km,4/2019,Used
Dodge,Challenger,48 149 €,Grey,Type of finish,Other interior color,Part leather interior,Coupe,4/5 doors,5,Petrol,Automatic,4x2,362 kW,6 417 cc,333,Euro 6,19 207 km,7/2019,10/2024
Mercedes-Benz,A 220,37 299 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,116,Euro 6d-TEMP,15 240 km,4/2021,Used
Dodge,RAM,40 549 €,Black,Type of finish,Grey interior,Cloth interior,Pick-up,4/5 doors,5,LPG,Automatic,4x4,295 kW,5 654 cc,298,Euro 6,90 000 km,5/2019,2
BMW,X1,33 549 €,Black,Interior color,Other interior material,SUV / offroad,4/5 doors,5,1615,Diesel,Automatic,4x2,110 kW,1 995 cc,114,Euro 6,36 409 km,1/2021,Used
Jeep,Renegade,26 149 €,Other interior color,Interior material,SUV / offroad,4/5 doors,5,1430,None,Diesel,Manual,4x2,96 kW,1 598 cc,118,No emission class,28 415 km,8/2021,Used
